87444,2,2,1
87220,3,2,2
55548,1,2,3
27850,4,1,1
10122,3,2,3
60350,4,2,1
48261,2,1,2
83268,4,1,1
74905,4,4,3
42345,2,4,4
80176,2,2,3
96705,2,4,3
74376,1,4,1
80141,4,1,4
60757,4,2,4
38720,3,4,1
08419,3,2,4
33919,1,2,1
55377,2,1,4
81102,2,2,1
40717,1,1,4
26844,4,3,2
29030,1,3,1
19092,3,2,2
79618,2,3,4
81408,1,3,3
43297,3,1,4
84071,3,2,2
19720,1,2,1
12093,1,2,2
16355,2,3,3
50689,3,3,3
93858,2,4,2
27084,4,2,3
25953,2,1,1
58095,2,1,2
99483,2,4,2
99973,3,4,2
07816,3,2,2
21836,1,4,4
35309,2,4,2
01969,3,2,3
73230,4,2,1
28005,2,3,3
42066,2,2,4
46954,2,2,1
14729,4,2,1
39508,4,2,1
66586,4,4,3
93458,4,4,4
46499,2,2,2
69393,2,4,3
04003,4,1,3
23788,2,4,1
42996,4,3,3
95722,3,2,3
84214,3,1,3
34494,1,4,4
12242,4,2,4
33505,3,4,4
21363,4,1,2
70969,2,1,1
14610,4,1,3
69946,4,3,3
33090,2,2,3
61576,1,1,3
18647,1,1,4
26831,1,1,2
84467,4,4,2
85965,4,2,3
27275,4,4,2
34468,3,4,1
30706,1,1,1
36711,3,2,4
42267,2,4,3
01259,1,1,1
56666,4,2,4
26002,4,2,4
58935,1,2,3
32182,1,2,1
05464,2,2,1
40979,1,2,3
93075,2,1,2
09985,1,4,3
43071,4,1,2
18931,1,1,3
83547,4,1,2
82410,2,4,1
92967,3,2,2
47380,4,1,2
21316,2,3,4
64626,1,1,3
82466,1,2,1
80202,2,1,4
04261,1,1,3
51109,3,4,3
28275,3,4,4
10919,3,3,2
04429,2,4,1
10390,4,3,2
27493,3,3,4
52769,4,2,3
21881,4,4,4
47526,4,4,2
11763,2,4,3
50107,1,2,3
65835,3,4,1
21091,4,4,3
77663,4,3,3
19727,3,4,2
43359,3,1,4
42947,2,3,4
93112,1,2,2
32837,2,2,1
87610,3,2,3
64051,4,4,2
85051,4,3,2
35934,2,4,4
80642,2,3,3
27834,3,3,4
82027,3,2,2
36749,1,1,1
06631,1,1,4
93859,3,2,1
29849,2,1,1
41310,1,2,4
89189,4,1,1
45722,3,3,3
79154,4,1,2
69413,4,3,1
14419,3,1,1
71367,1,1,3
94207,1,2,1
88840,4,3,4
48656,1,1,4
44059,1,2,1
99476,4,1,2
13581,4,2,3
88219,4,3,4
37296,3,1,4
29187,1,4,4
40179,1,3,1
99604,2,3,2
03419,3,1,4
70581,3,1,3
83097,4,4,1
80032,1,2,4
73975,2,2,4
83499,4,4,1
57753,2,3,3
20983,4,2,2
77369,3,4,4
30324,4,1,2
15852,4,1,3
53263,1,4,1
83196,2,2,1
07514,2,4,1
00039,3,2,4
44145,4,1,1
51025,2,1,3
10300,1,4,4
40442,3,3,2
22355,3,1,3
96356,3,3,3
25719,4,3,3
97804,2,2,1
89205,4,1,2
39400,2,4,4
41774,2,2,2
32042,4,4,4
16583,1,1,3
08091,2,1,1
80971,3,2,4
85799,1,4,1
15705,2,2,3
79199,1,2,4
36168,4,4,2
48848,3,4,2
44249,1,3,1
68456,2,1,2
44639,1,1,4
02350,3,4,3
48459,3,4,3
28181,4,4,1
47858,1,2,2
51058,2,4,2
04184,4,2,4
87417,4,2,2
23318,4,4,2
10770,1,2,4
49112,2,3,4
08600,3,3,2
50985,3,4,3
46909,1,1,2
97028,2,3,4
74012,4,1,1
18528,3,1,3
20059,4,2,1
98380,4,4,4
50875,2,3,1
03862,1,2,1
01517,1,2,3
73609,2,1,4
95774,3,2,4
36028,2,2,4
66962,3,3,2
58520,3,2,3
77618,1,4,2
31016,3,4,3
81596,4,1,2
67799,3,2,1
90462,3,4,3
58857,3,3,3
79611,1,3,3
55420,1,4,3
84586,4,1,1
35342,1,1,4
44979,2,1,2
19741,2,1,1
64782,1,4,4
09842,1,1,1
19901,3,1,3
39249,3,4,3
12303,4,1,4
58761,2,2,4
70350,4,2,1
08711,4,4,3
33638,3,2,2
74129,3,2,1
44169,3,2,4
12961,3,4,1
64257,4,2,2
43562,3,3,3
81559,3,1,2
88053,4,3,1
56774,1,3,3
49478,1,2,1
46647,4,1,4
67787,2,2,3
76994,4,1,2
71005,2,4,4
96408,4,2,4
51138,4,3,4
53488,1,1,1
86567,2,4,4
09808,2,3,4
74018,1,3,4
50682,1,3,4
44411,2,1,2
61834,1,1,3
44430,4,3,1
72968,3,3,4
79085,4,1,4
75799,1,4,4
93964,1,1,1
11152,3,2,4
33654,1,4,4
85841,4,4,3
73125,1,4,1
96628,4,1,2
42807,2,3,3
84618,3,1,1
70759,4,4,2
11289,3,1,4
85904,1,4,3
46252,4,4,2
71121,4,3,1
57977,3,2,1
38832,2,2,4
39808,1,1,4
38974,3,3,2
97917,4,3,3
38004,3,2,4
50161,1,2,2
02522,3,4,4
84816,2,3,4
81121,4,4,4
35754,1,3,4
75857,2,1,2
65362,3,1,4
66044,2,3,2
97546,3,2,2
59237,3,4,1
13425,1,2,1
30753,3,4,4
43400,3,2,3
45211,1,1,3
94460,3,4,2
99772,1,2,3
53429,1,3,4
24839,3,2,2
32590,3,3,3
15723,3,4,2
84291,1,2,2
40092,3,1,1
23277,3,1,4
27596,3,1,3
25436,4,4,3
89197,1,3,2
13227,1,4,3
60773,4,3,2
39527,1,2,1
82008,1,1,3
19873,4,1,3
58212,1,3,4
46784,3,2,3
85072,1,3,2
97765,1,3,1
16273,4,1,4
24139,2,4,1
12983,4,4,2
86623,1,3,3
99731,4,4,4
06257,1,3,1
88074,1,4,2
25516,4,2,2
24413,3,3,2
03750,2,4,3
37795,1,1,3
42750,4,3,4
81985,3,2,2
62460,2,4,4
46028,4,2,4
35356,2,3,2
45273,3,1,3
88221,4,1,2
60048,4,1,3
42235,1,2,1
93773,4,3,3
07123,2,2,2
68085,4,2,4
63835,4,3,1
91017,3,3,2
52966,2,3,1
87038,2,1,3
02116,3,2,2
23247,4,1,1
41064,2,3,3
23632,4,3,2
68868,1,4,1
09117,1,2,2
06218,4,3,1
74359,1,1,2
25888,1,2,4
36556,1,2,1
29605,1,1,1
87684,4,3,1
41289,4,3,3
80820,1,2,1
10334,1,2,3
77910,3,3,4
63553,4,2,3
55973,3,3,1
98565,3,3,3
66906,1,3,1
35437,3,1,2
70747,2,1,1
44645,2,4,3
11615,2,4,3
75832,1,2,2
56575,3,2,3
00207,1,2,2
85355,4,1,3
81550,3,4,4
52632,2,1,2
85999,2,4,1
32752,3,1,3
33006,1,1,1
82502,4,4,3
72794,1,4,3
73239,4,1,4
77458,1,4,2
67197,1,3,4
38568,3,3,4
59415,2,3,4
52891,1,3,3
89140,2,3,2
44598,2,2,3
61840,4,2,1
82563,4,4,3
86559,2,2,1
19897,3,2,2
93180,2,3,2
79246,4,2,4
71503,1,3,2
58415,2,1,1
39723,2,4,4
33123,4,1,1
46239,4,2,3
49677,4,3,2
64643,3,2,4
80439,2,3,2
27398,2,2,4
67648,1,4,2
04376,2,2,3
20096,3,3,2
80442,1,2,3
36718,1,3,3
11654,2,3,1
64007,4,1,1
65031,3,4,3
84535,4,3,2
79447,3,1,3
78880,4,2,4
16474,4,2,1
00788,1,4,3
88250,3,3,3
93986,4,2,4
62848,2,1,1
04797,1,4,1
31044,4,4,2
87091,1,4,1
41865,3,2,4
47834,1,3,3
99574,3,3,2
25833,3,4,4
77133,1,1,2
00490,2,1,4
67696,2,4,4
88686,4,1,3
56916,1,4,4
36269,1,2,3
18185,2,2,1
98768,1,3,4
56367,4,1,1
75657,4,2,3
36024,4,4,1
04640,3,1,2
09438,4,2,4
07111,4,3,3
94565,4,2,3
48638,3,2,1
46355,1,3,3
37886,3,2,1
83541,1,4,2
26045,2,4,1
48106,3,2,2
34399,3,1,4
53215,4,1,1
80552,2,1,3
51708,3,2,3
09323,3,2,2
47637,2,4,4
99227,4,2,1
96933,2,2,1
33105,2,2,2
18362,4,3,2
44623,4,4,2
22409,1,3,2
76065,2,3,1
66482,3,1,1
10713,1,1,2
05748,2,4,2
12115,3,4,2
54255,1,3,4
